msc_a,title_a,msc_b,title_b,direct_link,reference_overlap,text_similarity,connection_score
2674,MSC2674: Event relationships,2675,MSC2675: Serverside aggregations of message relationships,1.0,0.4,0.708,0.732
4151,MSC4151: Reporting rooms (Client-Server API),4260,MSC4260: Reporting users (Client-Server API),1.0,0.25,0.839,0.727
3820,MSC3820: Room Version 11,3989,MSC3989: Redact `origin` property on events,1.0,0.444,0.566,0.703
4239,MSC4239: Room version 11 as the default room version,4304,MSC4304: Room Version 12,1.0,0.227,0.75,0.693
1946,Secure Secret Storage and Sharing,2472,Symmetric SSSS,1.0,0.2,0.752,0.685
1772,"Proposal for Matrix ""spaces"" (formerly known as ""groups as rooms (take 2)"")",2946,MSC2946: Spaces Summary,1.0,0.25,0.658,0.672
3821,"MSC3821: Update redaction rules, again",3989,MSC3989: Redact `origin` property on events,1.0,0.333,0.558,0.667
3758,MSC3758: Add `event_property_is` push rule condition kind,3966,MSC3966: `event_property_contains` push rule condition,1.0,0.333,0.55,0.665
2965,MSC2965: OAuth 2.0 Authorization Server Metadata discovery,3861,"MSC3861: Next-generation auth for Matrix, based on OAuth 2.0/OIDC",1.0,0.333,0.528,0.658
2946,MSC2946: Spaces Summary,3173,MSC3173: Expose stripped state events to any potential joiner,1.0,0.5,0.352,0.656
2077,MSC2077 - Room version 5,2334,[MSC2334](https://github.com/matrix-org/matrix-doc/pull/2334) - Change default room version to v5,1.0,0.286,0.563,0.655
2176,MSC2176: Update the redaction rules,3821,"MSC3821: Update redaction rules, again",1.0,0.333,0.503,0.651
2241,Key verification in DMs,2366,Key verification flow additions: `m.key.verification.ready` and `m.key.verification.done`,1.0,0.0,0.835,0.65
2674,MSC2674: Event relationships,2676,MSC2676: Message editing,1.0,0.444,0.378,0.647
2176,MSC2176: Update the redaction rules,3989,MSC3989: Redact `origin` property on events,1.0,0.429,0.375,0.641
3604,MSC3604: Room Version 10,4304,MSC4304: Room Version 12,1.0,0.038,0.765,0.641
2674,MSC2674: Event relationships,3267,MSC3267: reference relationships,1.0,0.333,0.455,0.636
3820,MSC3820: Room Version 11,4304,MSC4304: Room Version 12,1.0,0.077,0.709,0.636
2674,MSC2674: Event relationships,3440,MSC3440 Threading via `m.thread` relation,1.0,0.267,0.5,0.63
2675,MSC2675: Serverside aggregations of message relationships,2676,MSC2676: Message editing,1.0,0.375,0.387,0.628
3083,Restricting room membership based on membership in other rooms,3173,MSC3173: Expose stripped state events to any potential joiner,1.0,0.375,0.378,0.626
2964,MSC2964: Usage of OAuth 2.0 authorization code grant and refresh token grant,2966,MSC2966: Usage of OAuth 2.0 Dynamic Client Registration in Matrix,1.0,0.333,0.41,0.623
2946,MSC2946: Spaces Summary,3266,MSC3266: Room Summary API,1.0,0.2,0.541,0.622
2788,MSC2788: Room version 6 as a default,4239,MSC4239: Room version 11 as the default room version,1.0,0.125,0.605,0.619
1708,MSC1708: .well-known support for server name resolution,1831,Proposal to do SRV lookups after .well-known to discover homeservers,1.0,0.333,0.389,0.617
2174,MSC2174: move the `redacts` property to `content`,2176,MSC2176: Update the redaction rules,1.0,0.375,0.35,0.617
3440,MSC3440 Threading via `m.thread` relation,3856,MSC3856: Threads List API,1.0,0.0,0.721,0.616
3824,MSC3824: OAuth 2.0 API aware clients,4191,MSC4191: Account management for OAuth 2.0 API,1.0,0.2,0.504,0.611
4289,MSC4289: Explicitly privilege room creators,4291,MSC4291: Room IDs as hashes of the create event,1.0,0.286,0.419,0.611
2676,MSC2676: Message editing,2677,MSC2677: Annotations and Reactions,1.0,0.3,0.401,0.61
2965,MSC2965: OAuth 2.0 Authorization Server Metadata discovery,2966,MSC2966: Usage of OAuth 2.0 Dynamic Client Registration in Matrix,1.0,0.333,0.366,0.61
3820,MSC3820: Room Version 11,3821,"MSC3821: Update redaction rules, again",1.0,0.222,0.478,0.61
2334,[MSC2334](https://github.com/matrix-org/matrix-doc/pull/2334) - Change default room version to v5,4239,MSC4239: Room version 11 as the default room version,1.0,0.091,0.607,0.609
2964,MSC2964: Usage of OAuth 2.0 authorization code grant and refresh token grant,3861,"MSC3861: Next-generation auth for Matrix, based on OAuth 2.0/OIDC",1.0,0.231,0.459,0.607
2675,MSC2675: Serverside aggregations of message relationships,3440,MSC3440 Threading via `m.thread` relation,1.0,0.214,0.468,0.605
2002,MSC 2002 - Rooms V4,2077,MSC2077 - Room version 5,1.0,0.286,0.396,0.604
2965,MSC2965: OAuth 2.0 Authorization Server Metadata discovery,4191,MSC4191: Account management for OAuth 2.0 API,1.0,0.125,0.544,0.601
3173,MSC3173: Expose stripped state events to any potential joiner,3266,MSC3266: Room Summary API,1.0,0.167,0.505,0.601
1219,Possible UX for interactive clients,1946,Secure Secret Storage and Sharing,1.0,0.286,0.38,0.6
4289,MSC4289: Explicitly privilege room creators,4297,MSC4297: State Resolution v2.1,1.0,0.5,0.161,0.598
1708,MSC1708: .well-known support for server name resolution,1711,MSC1711: X.509 certificate verification for federation connections,1.0,0.333,0.312,0.594
2229,Allowing 3PID Owners to Rebind,2290,Separate Endpoints for Binding Threepids,1.0,0.0,0.645,0.594
2946,MSC2946: Spaces Summary,3083,Restricting room membership based on membership in other rooms,1.0,0.25,0.386,0.591
2002,MSC 2002 - Rooms V4,2334,[MSC2334](https://github.com/matrix-org/matrix-doc/pull/2334) - Change default room version to v5,1.0,0.25,0.38,0.589
3820,MSC3820: Room Version 11,4239,MSC4239: Room version 11 as the default room version,1.0,0.071,0.558,0.589
2781,MSC2781: Remove reply fallbacks from the specification,3676,MSC3676: Transitioning away from reply fallbacks.,1.0,0.0,0.625,0.588
3440,MSC3440 Threading via `m.thread` relation,3816,MSC3816: Clarify Thread Participation,1.0,0.0,0.626,0.588
2240,MSC2240: Room Version 6,4304,MSC4304: Room Version 12,1.0,0.0,0.623,0.587
3771,MSC3771: Read receipts for threads,3773,MSC3773: Notifications for threads,1.0,0.2,0.421,0.586
3786,MSC3786: Add a default push rule to ignore `m.room.server_acl` events,3987,MSC3987: Push actions clean-up,1.0,0.333,0.287,0.586
2674,MSC2674: Event relationships,2677,MSC2677: Annotations and Reactions,1.0,0.333,0.281,0.584
3952,MSC3952: Intentional Mentions,4210,MSC4210: Remove legacy mentions,1.0,0.0,0.612,0.583
2174,MSC2174: move the `redacts` property to `content`,3989,MSC3989: Redact `origin` property on events,1.0,0.222,0.379,0.58
2174,MSC2174: move the `redacts` property to `content`,2244,Mass redactions,1.0,0.25,0.343,0.578
2966,MSC2966: Usage of OAuth 2.0 Dynamic Client Registration in Matrix,3861,"MSC3861: Next-generation auth for Matrix, based on OAuth 2.0/OIDC",1.0,0.167,0.428,0.578
1711,MSC1711: X.509 certificate verification for federation connections,1831,Proposal to do SRV lookups after .well-known to discover homeservers,1.0,0.333,0.257,0.577
1772,"Proposal for Matrix ""spaces"" (formerly known as ""groups as rooms (take 2)"")",3083,Restricting room membership based on membership in other rooms,1.0,0.2,0.388,0.576
3861,"MSC3861: Next-generation auth for Matrix, based on OAuth 2.0/OIDC",4191,MSC4191: Account management for OAuth 2.0 API,1.0,0.154,0.432,0.576
3824,MSC3824: OAuth 2.0 API aware clients,3861,"MSC3861: Next-generation auth for Matrix, based on OAuth 2.0/OIDC",1.0,0.083,0.495,0.573
2675,MSC2675: Serverside aggregations of message relationships,3666,MSC3666: Bundled aggregations for server side search,1.0,0.143,0.43,0.572
3289,MSC3289: Room Version 8,4304,MSC4304: Room Version 12,1.0,0.0,0.574,0.572
1659,Changing Event IDs to be Hashes,4291,MSC4291: Room IDs as hashes of the create event,1.0,0.111,0.459,0.571
2746,MSC2746: Improved Signalling for 1:1 VoIP,3077,MSC3077: Support for multi-stream VoIP,1.0,0.333,0.238,0.571
3904,MSC3904: Room version 10 as a default,4239,MSC4239: Room version 11 as the default room version,1.0,0.125,0.445,0.571
1219,Possible UX for interactive clients,2472,Symmetric SSSS,1.0,0.167,0.401,0.57
2176,MSC2176: Update the redaction rules,3820,MSC3820: Room Version 11,1.0,0.3,0.267,0.57
2285,MSC2285: Private read receipts,3771,MSC3771: Read receipts for threads,1.0,0.0,0.568,0.57
2676,MSC2676: Message editing,3440,MSC3440 Threading via `m.thread` relation,1.0,0.231,0.335,0.57
2964,MSC2964: Usage of OAuth 2.0 authorization code grant and refresh token grant,2965,MSC2965: OAuth 2.0 Authorization Server Metadata discovery,1.0,0.25,0.312,0.569
2249,MSC2249: Require users to have visibility on an event when submitting reports,4151,MSC4151: Reporting rooms (Client-Server API),1.0,0.0,0.559,0.568
1219,Possible UX for interactive clients,2526,MSC2526: Add ability to delete key backups,1.0,0.0,0.557,0.567
2174,MSC2174: move the `redacts` property to `content`,3820,MSC3820: Room Version 11,1.0,0.273,0.283,0.567
4260,MSC4260: Reporting users (Client-Server API),4277,MSC4277: Harmonizing the reporting endpoints,1.0,0.25,0.307,0.567
3077,MSC3077: Support for multi-stream VoIP,3291,MSC3291: Muting in VoIP calls,1.0,0.333,0.219,0.566
2675,MSC2675: Serverside aggregations of message relationships,2677,MSC2677: Annotations and Reactions,1.0,0.273,0.275,0.564
3440,MSC3440 Threading via `m.thread` relation,3773,MSC3773: Notifications for threads,1.0,0.083,0.463,0.564
3952,MSC3952: Intentional Mentions,3966,MSC3966: `event_property_contains` push rule condition,1.0,0.167,0.379,0.564
3873,MSC3873: event_match dotted keys,3980,MSC3980: Dotted Field Consistency,1.0,0.0,0.539,0.562
2002,MSC 2002 - Rooms V4,4239,MSC4239: Room version 11 as the default room version,1.0,0.2,0.337,0.561
1543,Example flow,1717,Key verification mechanisms,1.0,0.0,0.534,0.56
3589,MSC3589: Room version 9 as a default,4239,MSC4239: Room version 11 as the default room version,1.0,0.125,0.408,0.56
1756,Cross-signing devices with device signing keys,1946,Secure Secret Storage and Sharing,1.0,0.2,0.324,0.557
2677,MSC2677: Annotations and Reactions,3440,MSC3440 Threading via `m.thread` relation,1.0,0.267,0.255,0.557
3860,MSC3860: Media Download Redirects,3916,"MSC3916: Authentication for media access, and new endpoint names",1.0,0.0,0.521,0.556
2403,"MSC2403: Add ""knock"" feature",3173,MSC3173: Expose stripped state events to any potential joiner,1.0,0.125,0.39,0.555
2312,URI scheme for Matrix,2758,MSC2758: Common grammar for textual identifiers,1.0,0.25,0.263,0.554
2403,"MSC2403: Add ""knock"" feature",3083,Restricting room membership based on membership in other rooms,1.0,0.111,0.401,0.554
3550,MSC3550: Add HTTP 403 to possible profile lookup responses,4170,MSC4170: 403 error responses for profile APIs,1.0,0.0,0.513,0.554
2010,MSC 2010: Proposal to add client-side spoilers,2557,MSC2557: Clarifications on spoilers,1.0,0.0,0.509,0.553
2746,MSC2746: Improved Signalling for 1:1 VoIP,3291,MSC3291: Muting in VoIP calls,1.0,0.333,0.178,0.553
3267,MSC3267: reference relationships,3440,MSC3440 Threading via `m.thread` relation,1.0,0.154,0.357,0.553
4291,MSC4291: Room IDs as hashes of the create event,4297,MSC4297: State Resolution v2.1,1.0,0.286,0.226,0.553
1772,"Proposal for Matrix ""spaces"" (formerly known as ""groups as rooms (take 2)"")",3173,MSC3173: Expose stripped state events to any potential joiner,1.0,0.222,0.284,0.552
2077,MSC2077 - Room version 5,4304,MSC4304: Room Version 12,1.0,0.043,0.464,0.552
3375,MSC3375: Room Version 9,4304,MSC4304: Room Version 12,1.0,0.0,0.506,0.552
4151,MSC4151: Reporting rooms (Client-Server API),4277,MSC4277: Harmonizing the reporting endpoints,1.0,0.2,0.306,0.552
4291,MSC4291: Room IDs as hashes of the create event,4304,MSC4304: Room Version 12,1.0,0.182,0.325,0.552
4291,MSC4291: Room IDs as hashes of the create event,4307,MSC4307: Validate that `auth_events` are in the correct room,1.0,0.143,0.364,0.552
3823,MSC3823: Account Suspension,3939,MSC3939: Account locking,1.0,0.0,0.502,0.551
2965,MSC2965: OAuth 2.0 Authorization Server Metadata discovery,4254,MSC4254: Usage of [RFC7009] Token Revocation for Matrix client logout,1.0,0.167,0.329,0.549
2175,MSC2175: Remove the `creator` field from `m.room.create` events,3989,MSC3989: Redact `origin` property on events,1.0,0.143,0.35,0.548
1219,Possible UX for interactive clients,1756,Cross-signing devices with device signing keys,1.0,0.167,0.323,0.547
1946,Secure Secret Storage and Sharing,2874,MSC2874: Single SSSS,1.0,0.0,0.488,0.546
3861,"MSC3861: Next-generation auth for Matrix, based on OAuth 2.0/OIDC",4254,MSC4254: Usage of [RFC7009] Token Revocation for Matrix client logout,1.0,0.083,0.404,0.546
2788,MSC2788: Room version 6 as a default,4304,MSC4304: Room Version 12,1.0,0.048,0.43,0.543
3589,MSC3589: Room version 9 as a default,3904,MSC3904: Room version 10 as a default,0.0,1.0,0.811,0.543
3706,MSC3706: Extensions to `/_matrix/federation/v2/send_join/{roomId}/{eventId}` for partial state,3943,MSC3943: Partial joins to nameless rooms should include heroes' memberships.,1.0,0.0,0.475,0.543
3873,MSC3873: event_match dotted keys,3952,MSC3952: Intentional Mentions,1.0,0.125,0.329,0.536
4147,MSC4147: Including device keys with Olm-encrypted to-device messages,4153,MSC4153: Exclude non-cross-signed devices,1.0,0.0,0.451,0.535
3440,MSC3440 Threading via `m.thread` relation,3771,MSC3771: Read receipts for threads,1.0,0.071,0.367,0.532
3916,"MSC3916: Authentication for media access, and new endpoint names",4189,MSC4189: Allowing guests to access uploaded media,1.0,0.0,0.437,0.531
4291,MSC4291: Room IDs as hashes of the create event,4311,MSC4311: Ensuring the create event is available on invites,1.0,0.0,0.438,0.531
1767,MSC1767: Extensible events in Matrix,3952,MSC3952: Intentional Mentions,1.0,0.1,0.333,0.53
2967,MSC2967: API scopes,3861,"MSC3861: Next-generation auth for Matrix, based on OAuth 2.0/OIDC",1.0,0.083,0.35,0.53
2701,MSC2701: Media and the `Content-Type` relationship,2702,MSC2702: `Content-Disposition` usage in the media repo,1.0,0.0,0.431,0.529
2244,Mass redactions,3820,MSC3820: Room Version 11,1.0,0.2,0.226,0.528
2240,MSC2240: Room Version 6,2540,MSC2540: Stricter event validation: JSON compliance,1.0,0.0,0.424,0.527
2998,MSC2998: Room Version 7,4304,MSC4304: Room Version 12,1.0,0.0,0.424,0.527
3758,MSC3758: Add `event_property_is` push rule condition kind,3952,MSC3952: Intentional Mentions,1.0,0.167,0.256,0.527
1767,MSC1767: Extensible events in Matrix,3765,MSC3765: Rich text in room topics,1.0,0.0,0.411,0.523
2677,MSC2677: Annotations and Reactions,3267,MSC3267: reference relationships,1.0,0.2,0.21,0.523
2674,MSC2674: Event relationships,3666,MSC3666: Bundled aggregations for server side search,1.0,0.111,0.295,0.522
2964,MSC2964: Usage of OAuth 2.0 authorization code grant and refresh token grant,2967,MSC2967: API scopes,1.0,0.167,0.239,0.522
2174,MSC2174: move the `redacts` property to `content`,3604,MSC3604: Room Version 10,1.0,0.182,0.217,0.52
2175,MSC2175: Remove the `creator` field from `m.room.create` events,3820,MSC3820: Room Version 11,1.0,0.1,0.3,0.52
3861,"MSC3861: Next-generation auth for Matrix, based on OAuth 2.0/OIDC",3882,MSC3882: Allow an existing session to sign in a new session,1.0,0.0,0.398,0.519
3589,MSC3589: Room version 9 as a default,4304,MSC4304: Room Version 12,1.0,0.048,0.347,0.518
4191,MSC4191: Account management for OAuth 2.0 API,4312,MSC4312: Resetting cross-signing keys in the OAuth world,1.0,0.0,0.389,0.517
1543,Example flow,2241,Key verification in DMs,1.0,0.0,0.386,0.516
3904,MSC3904: Room version 10 as a default,4304,MSC4304: Room Version 12,1.0,0.048,0.339,0.516
4289,MSC4289: Explicitly privilege room creators,4304,MSC4304: Room Version 12,1.0,0.095,0.282,0.513
1767,MSC1767: Extensible events in Matrix,3381,MSC3381: Chat Polls,1.0,0.0,0.372,0.512
3440,MSC3440 Threading via `m.thread` relation,3676,MSC3676: Transitioning away from reply fallbacks.,1.0,0.0,0.373,0.512
2781,MSC2781: Remove reply fallbacks from the specification,4142,MSC4142: Remove unintentional intentional mentions in replies,1.0,0.0,0.37,0.511
2241,Key verification in DMs,3267,MSC3267: reference relationships,1.0,0.143,0.221,0.509
2244,Mass redactions,3604,MSC3604: Room Version 10,1.0,0.222,0.14,0.509
4147,MSC4147: Including device keys with Olm-encrypted to-device messages,4268,MSC4268: Sharing room keys for past messages,1.0,0.0,0.364,0.509
4163,MSC4163: Make ACLs apply to EDUs,4436,MSC4436: Make server ACLs case insensitive,1.0,0.0,0.36,0.508
2076,MSC2076: Enforce key-validity periods when validating event signatures,2077,MSC2077 - Room version 5,1.0,0.2,0.158,0.507
3083,Restricting room membership based on membership in other rooms,3375,MSC3375: Room Version 9,1.0,0.0,0.357,0.507
2002,MSC 2002 - Rooms V4,4304,MSC4304: Room Version 12,1.0,0.087,0.268,0.506
3289,MSC3289: Room Version 8,3375,MSC3375: Room Version 9,0.0,1.0,0.684,0.505
2240,MSC2240: Room Version 6,2432,MSC2432: Updated semantics for publishing room aliases,1.0,0.0,0.347,0.504
1692,MSC1692: Terms of service at registration,2140,MSC2140: Terms of Service API for Identity Servers and Integration Managers,1.0,0.0,0.341,0.502
4178,MSC4178: Error codes for requestToken,4183,MSC4183: Additional Error Codes for submitToken endpoints,1.0,0.0,0.337,0.501
1772,"Proposal for Matrix ""spaces"" (formerly known as ""groups as rooms (take 2)"")",2312,URI scheme for Matrix,1.0,0.143,0.19,0.5
2076,MSC2076: Enforce key-validity periods when validating event signatures,2334,[MSC2334](https://github.com/matrix-org/matrix-doc/pull/2334) - Change default room version to v5,1.0,0.167,0.168,0.5
2676,MSC2676: Message editing,2781,MSC2781: Remove reply fallbacks from the specification,1.0,0.1,0.229,0.499
2174,MSC2174: move the `redacts` property to `content`,4169,MSC4169: Backwards-compatible redaction sending using `/send`,1.0,0.0,0.324,0.497
2788,MSC2788: Room version 6 as a default,3904,MSC3904: Room version 10 as a default,0.0,1.0,0.653,0.496
3916,"MSC3916: Authentication for media access, and new endpoint names",4126,MSC4126: Deprecation of query string auth,1.0,0.0,0.318,0.495
4153,MSC4153: Exclude non-cross-signed devices,4190,MSC4190: Device management for application services,1.0,0.0,0.318,0.495
1767,MSC1767: Extensible events in Matrix,3873,MSC3873: event_match dotted keys,1.0,0.111,0.199,0.493
1772,"Proposal for Matrix ""spaces"" (formerly known as ""groups as rooms (take 2)"")",3827,MSC3827: Filtering of `/publicRooms` by room type,1.0,0.0,0.307,0.492
2414,MSC2414: Make `reason` and `score` optional for reporting content,4277,MSC4277: Harmonizing the reporting endpoints,1.0,0.0,0.306,0.492
3700,MSC3700: Deprecate plaintext sender_key,4381,MSC4381: Remove plaintext sender key,1.0,0.0,0.302,0.491
1442,State Resolution: Reloaded,1759,MSC 1759 - Rooms V2,1.0,0.0,0.299,0.49
2677,MSC2677: Annotations and Reactions,3786,MSC3786: Add a default push rule to ignore `m.room.server_acl` events,1.0,0.111,0.189,0.49
3083,Restricting room membership based on membership in other rooms,3289,MSC3289: Room Version 8,1.0,0.0,0.302,0.49
3816,MSC3816: Clarify Thread Participation,3856,MSC3856: Threads List API,0.0,1.0,0.627,0.488
2674,MSC2674: Event relationships,2781,MSC2781: Remove reply fallbacks from the specification,1.0,0.077,0.214,0.487
3861,"MSC3861: Next-generation auth for Matrix, based on OAuth 2.0/OIDC",4190,MSC4190: Device management for application services,1.0,0.0,0.29,0.487
4190,MSC4190: Device management for application services,4326,MSC4326: Device masquerading for appservices,1.0,0.0,0.287,0.486
3381,MSC3381: Chat Polls,3930,MSC3930: Polls push rules/notifications,1.0,0.0,0.285,0.485
2176,MSC2176: Update the redaction rules,3604,MSC3604: Room Version 10,1.0,0.091,0.188,0.484
3604,MSC3604: Room Version 10,3787,MSC3787: Allowing knocks to restricted rooms,1.0,0.0,0.282,0.484
4304,MSC4304: Room Version 12,4307,MSC4307: Validate that `auth_events` are in the correct room,1.0,0.048,0.234,0.484
4156,MSC4156: Migrate `server_name` to `via`,4213,MSC4213: Remove `server_name` parameter,1.0,0.0,0.277,0.483
1759,MSC 1759 - Rooms V2,4304,MSC4304: Room Version 12,1.0,0.0,0.273,0.482
2175,MSC2175: Remove the `creator` field from `m.room.create` events,3604,MSC3604: Room Version 10,1.0,0.0,0.273,0.482
3440,MSC3440 Threading via `m.thread` relation,3567,MSC3567: Allow requesting events from the start/end of the room history,1.0,0.0,0.271,0.481
3827,MSC3827: Filtering of `/publicRooms` by room type,3981,MSC3981: `/relations` recursion,1.0,0.0,0.265,0.48
1659,Changing Event IDs to be Hashes,1884,MSC1884: Proposal to replace slashes in event IDs,1.0,0.0,0.264,0.479
1961,MSC1961: Integration manager authentication,2140,MSC2140: Terms of Service API for Identity Servers and Integration Managers,1.0,0.0,0.263,0.479
2209,Update auth rules to check notifications key in m.room.power_levels,2240,MSC2240: Room Version 6,1.0,0.0,0.256,0.477
2403,"MSC2403: Add ""knock"" feature",2998,MSC2998: Room Version 7,1.0,0.0,0.255,0.477
2758,MSC2758: Common grammar for textual identifiers,2858,MSC2858: Multiple SSO Identity Providers,1.0,0.0,0.256,0.477
3873,MSC3873: event_match dotted keys,3958,MSC3958: Suppress notifications from message edits,1.0,0.0,0.252,0.475
4133,MSC4133: Extending User Profile API with Custom Key:Value Pairs,4175,MSC4175: Profile field for user time zone,1.0,0.0,0.252,0.475
2140,MSC2140: Terms of Service API for Identity Servers and Integration Managers,2263,MSC2263: Give homeservers the ability to handle their own 3PID registrations/password resets,1.0,0.0,0.247,0.474
1772,"Proposal for Matrix ""spaces"" (formerly known as ""groups as rooms (take 2)"")",2758,MSC2758: Common grammar for textual identifiers,1.0,0.125,0.115,0.472
2675,MSC2675: Serverside aggregations of message relationships,3715,MSC3715: Add a pagination direction parameter to `/relations`,1.0,0.0,0.241,0.472
2677,MSC2677: Annotations and Reactions,3987,MSC3987: Push actions clean-up,1.0,0.111,0.13,0.472
3861,"MSC3861: Next-generation auth for Matrix, based on OAuth 2.0/OIDC",3970,MSC3970: Scope transaction IDs to devices,1.0,0.0,0.236,0.471
2677,MSC2677: Annotations and Reactions,3981,MSC3981: `/relations` recursion,1.0,0.0,0.225,0.467
3771,MSC3771: Read receipts for threads,3981,MSC3981: `/relations` recursion,1.0,0.0,0.225,0.467
3861,"MSC3861: Next-generation auth for Matrix, based on OAuth 2.0/OIDC",3967,MSC3967: Do not require UIA when first uploading cross signing keys,1.0,0.0,0.225,0.467
1960,MSC1960: OpenID Connect information exchange for widgets,1961,MSC1961: Integration manager authentication,1.0,0.0,0.217,0.465
2870,MSC2870: Protect server ACLs from redaction,4304,MSC4304: Room Version 12,1.0,0.0,0.213,0.464
1767,MSC1767: Extensible events in Matrix,2781,MSC2781: Remove reply fallbacks from the specification,1.0,0.0,0.204,0.461
1659,Changing Event IDs to be Hashes,4304,MSC4304: Room Version 12,1.0,0.043,0.157,0.46
1794,MSC 1794 - Federation v2 Invite API,1802,Remove the '200' value from some federation responses,1.0,0.0,0.2,0.46
2184,Allow the HTML `<details>` tag in messages,4077,MSC4077: Improved process for handling deprecated HTML features,1.0,0.0,0.202,0.46
1753,MSC1753: client-server capabilities API,1804,Proposal for advertising capable room versions to clients,1.0,0.0,0.198,0.459
4297,MSC4297: State Resolution v2.1,4304,MSC4304: Room Version 12,1.0,0.095,0.103,0.459
2134,MSC2134: Identity Hash Lookups,2140,MSC2140: Terms of Service API for Identity Servers and Integration Managers,1.0,0.0,0.191,0.457
2241,Key verification in DMs,2674,MSC2674: Event relationships,1.0,0.091,0.1,0.457
2134,MSC2134: Identity Hash Lookups,2265,Proposal for mandating case folding when processing e-mail addresses,1.0,0.0,0.179,0.454
2788,MSC2788: Room version 6 as a default,3589,MSC3589: Room version 9 as a default,0.0,1.0,0.512,0.454
2422,MSC2422: Allow `color` as attribute for `<font>` in messages,4077,MSC4077: Improved process for handling deprecated HTML features,1.0,0.0,0.166,0.45
2244,Mass redactions,4304,MSC4304: Room Version 12,1.0,0.091,0.072,0.449
3604,MSC3604: Room Version 10,3667,MSC3667: Enforce integer power levels,1.0,0.0,0.164,0.449
2858,MSC2858: Multiple SSO Identity Providers,3916,"MSC3916: Authentication for media access, and new endpoint names",1.0,0.0,0.145,0.444
1767,MSC1767: Extensible events in Matrix,2184,Allow the HTML `<details>` tag in messages,1.0,0.0,0.144,0.443
1802,Remove the '200' value from some federation responses,4376,MSC4376: Remove /v1/send_join and /v1/send_leave,1.0,0.0,0.141,0.442
2313,MSC2313: Moderation policies as rooms (ban lists),3844,"MSC3844: Remove ""Mjolnir"" (policy room) sharing mechanism",1.0,0.0,0.139,0.442
4213,MSC4213: Remove `server_name` parameter,4381,MSC4381: Remove plaintext sender key,1.0,0.0,0.134,0.44
2858,MSC2858: Multiple SSO Identity Providers,2964,MSC2964: Usage of OAuth 2.0 authorization code grant and refresh token grant,1.0,0.0,0.13,0.439
0000,MSC0000: Template for new MSCs,2324,MSC2324: Facilitating early releases of software dependent on spec,1.0,0.0,0.125,0.438
1659,Changing Event IDs to be Hashes,1804,Proposal for advertising capable room versions to clients,1.0,0.0,0.122,0.437
2367,Allowing Reasons in all Membership Events,2414,MSC2414: Make `reason` and `score` optional for reporting content,1.0,0.0,0.12,0.436
1884,MSC1884: Proposal to replace slashes in event IDs,2002,MSC 2002 - Rooms V4,1.0,0.0,0.116,0.435
2403,"MSC2403: Add ""knock"" feature",2844,MSC2844: Using a global version number for the entire specification,1.0,0.0,0.116,0.435
2334,[MSC2334](https://github.com/matrix-org/matrix-doc/pull/2334) - Change default room version to v5,4436,MSC4436: Make server ACLs case insensitive,1.0,0.0,0.112,0.434
1219,Possible UX for interactive clients,1753,MSC1753: client-server capabilities API,1.0,0.0,0.097,0.429
1960,MSC1960: OpenID Connect information exchange for widgets,2781,MSC2781: Remove reply fallbacks from the specification,1.0,0.0,0.07,0.421
1442,State Resolution: Reloaded,3122,MSC3122: Deprecate starting key verifications without requesting first,1.0,0.0,0.04,0.412
3604,MSC3604: Room Version 10,3820,MSC3820: Room Version 11,0.0,0.5,0.845,0.404
3567,MSC3567: Allow requesting events from the start/end of the room history,3856,MSC3856: Threads List API,0.0,1.0,0.315,0.394
3860,MSC3860: Media Download Redirects,4189,MSC4189: Allowing guests to access uploaded media,0.0,1.0,0.269,0.381
3882,MSC3882: Allow an existing session to sign in a new session,3970,MSC3970: Scope transaction IDs to devices,0.0,1.0,0.255,0.377
1756,Cross-signing devices with device signing keys,2472,Symmetric SSSS,0.0,1.0,0.253,0.376
4126,MSC4126: Deprecation of query string auth,4189,MSC4189: Allowing guests to access uploaded media,0.0,1.0,0.219,0.366
2432,MSC2432: Updated semantics for publishing room aliases,2540,MSC2540: Stricter event validation: JSON compliance,0.0,1.0,0.218,0.365
3882,MSC3882: Allow an existing session to sign in a new session,3967,MSC3967: Do not require UIA when first uploading cross signing keys,0.0,1.0,0.218,0.365
2209,Update auth rules to check notifications key in m.room.power_levels,2432,MSC2432: Updated semantics for publishing room aliases,0.0,1.0,0.176,0.353
1692,MSC1692: Terms of service at registration,2263,MSC2263: Give homeservers the ability to handle their own 3PID registrations/password resets,0.0,1.0,0.173,0.352
3860,MSC3860: Media Download Redirects,4126,MSC4126: Deprecation of query string auth,0.0,1.0,0.17,0.351
3567,MSC3567: Allow requesting events from the start/end of the room history,3816,MSC3816: Clarify Thread Participation,0.0,1.0,0.132,0.339
3958,MSC3958: Suppress notifications from message edits,3980,MSC3980: Dotted Field Consistency,0.0,1.0,0.131,0.339
2209,Update auth rules to check notifications key in m.room.power_levels,2540,MSC2540: Stricter event validation: JSON compliance,0.0,1.0,0.124,0.337
3967,MSC3967: Do not require UIA when first uploading cross signing keys,3970,MSC3970: Scope transaction IDs to devices,0.0,1.0,0.109,0.333
1794,MSC 1794 - Federation v2 Invite API,4376,MSC4376: Remove /v1/send_join and /v1/send_leave,0.0,1.0,0.104,0.331
1717,Key verification mechanisms,2241,Key verification in DMs,0.0,0.25,0.816,0.32
